id_del_proceso,entidad,objeto,valor_base,ciudad,estado,coincidio_por,url,fecha_deteccion
"CO1.REQ.10832719","UNIVERSIDAD DE ANTIOQUIA","Se requiere compra de Reactivos para el Gruo de Investigación BIOPOLIMER. Proyecto Asociado ES84240023 Evaluación de la producción simultánea de enzimas ligninolíticas  polisacáridos y biomasa de hongos de la podredumbre blanca aislados en la región andina de Colombia acta 202477019 Según cotización No. C121788 DISTRIBUIDORA BIOCIENTIFICA SAS Ticket. 10834360","956610","Medellín","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10686682","2026-08-14T02:08:35.610Z"
"CO1.REQ.10819809","UNIVERSIDAD DE ANTIOQUIA","Responsable de la compra Kelly Giraldo Grupo Neurociencias Compra de 1UndST3GALIV ref SC293406 Santa Cruz 1UndAnticuerpo CD33 AB11032 50UG Abcam","6651138","Medellín","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10685753","2026-08-14T02:08:35.610Z"
"CO1.REQ.10832062","UNIVERSIDAD NACIONAL DE COLOMBIA","Adquirir equipos de laboratorio destinados al Laboratorio de Fisiología Vegetal de la Facultad de Ciencias de la Universidad Nacional de Colombia  Sede Bogotá.","11900000","No Definido","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10685999","2026-08-14T02:08:35.610Z"
"CO1.REQ.10836867","Institución Universitaria Pascual Bravo COMPRADOR","Adquisición de dispositivos  Insumos Electrónicos y accesorios para el desarrollo de actividades académicas  investigativas y administrativas de la Institución Universitaria Pascual Bravo","145313518","Medellín","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10691060","2026-08-14T02:08:35.610Z"
"CO1.REQ.10836392","UNIVERSIDAD NACIONAL DE COLOMBIA","Adquirir reactivos e insumos de laboratorio para el desarrollo de las actividades del Departamento de Química.","10073350","No Definido","Publicado","UNSPSC: V1.4111","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10690499","2026-08-14T02:08:35.610Z"
"CO1.REQ.10839757","INSTITUCIÓN EDUCATIVA EL HATO","Prestación de servicios de soporte técnico y mantenimiento preventivo y correctivo de los equipos de cómputo e impresoras de las sedes de la Institución Educativa.","1591619","Pesca","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10694231","2026-08-14T02:08:35.610Z"
"CO1.REQ.10838234","MUNICIPIO DE SOATA","CONSULTORIA PARA LA ELABORACION DEL DIAGNOSTICO INTEGRAL Y ESTUDIO DE PATOLOGIA SOBRE EL ESTADO ACTUAL DE LA PLAZA DE MERCADO MUNICIPAL DE SOATA  BOYACÁ","49021769","Soatá","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10692735","2026-08-14T02:08:35.610Z"
"CO1.REQ.10836807","ESCUELA DE POLICIA ANTONIO NARIÑO","PRESTACIÓN DE SERVICIOS PROFESIONALES PARA REALIZAR SEGUIMIENTO Y CONTROL DE LA EJECUCIÓN DE LOS CONTRATOS DE OBRA NO. 115-3-25 CUYO OBJETO ES MANTENIMIENTO PREVENTIVO  CORRECTIVO  ADECUACIÓN Y REMODELACIÓN MAYOR DE LAS INSTALACIONES DE LA ESCUELA DE POLICÍA ANTONIO NARIÑO EN SOLEDAD - ATLÁNTICO (ESANA) A PRECIOS UNITARIOS EN EL MARCO DEL CONVENIO INTERADMINISTRATIVO NO. 00000-9 -2024 - DIEPO  - LOTE 1 Y ACOMPAÑAMIENTO  SEGUIMIENTO  ASESORÍA A LA SUPERVISIÓN DE LOS DIFERENTES CONTRATOS DE OBRA Y","15000000","Soledad","Seleccionado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10695999","2026-08-14T02:08:35.610Z"
"CO1.REQ.10838403","UNIVERSIDAD NACIONAL DE COLOMBIA","PRESTAR SERVICIOS PROFESIONALES PARA DISEÑAR  DESARROLLAR  INVESTIGAR Y ANALIZAR LAS PRUEBAS DE LABORATORIO ASOCIADAS A LOS SISTEMAS DE POLÍMEROS  GELES Y SURFACTANTES EMPLEADOS EN PROCESOS DE RECOBRO MEJORADO DE PETRÓLEO (EOR)  PROFUNDIZANDO EN LA CARACTERIZACIÓN DE AGUAS DE INYECCIÓN  EL COMPORTAMIENTO DE GELACIÓN Y LAS INTERACCIONES FLUIDO-FLUIDO Y FLUIDO-ROCA  PARA SER UTILIZADAS EN OTROS PROCESOS EOR E IOR.","28500000","No Definido","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10692684","2026-08-14T02:08:35.610Z"
"CO1.REQ.10839955","MUNICIPIO DE EL COCUY","REALIZACIÓN DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A MONTO AGOTABLE DEL BANCO DE MAQUINARIA AMARILLA DE PROPIEDAD DEL MUNICIPIO DE EL COCUY","80527526","El Cocuy","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10694582","2026-08-14T02:08:35.610Z"
"CO1.REQ.10827189","INSTITUTO DE DESARROLLO URBANO","PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS PARA APOYAR LA SUPERVISIÓN INTEGRAL DE LOS PROYECTOS DE INFRAESTRUCTURA DE ALTA COMPLEJIDAD A CARGO DE LA DIRECCIÓN TÉCNICA DE PROYECTOS.","59925000","Bogotá","Seleccionado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10695902","2026-08-14T02:08:35.610Z"
"CO1.REQ.10839375","DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL","Estación Topográfica con Sistema de Escaneo y la Aeronave Remotamente Tripulada (ART) Drone Matrice 30  requieren actividades de mantenimiento especializado que garanticen su correcto funcionamiento  confiabilidad y disponibilidad operativa.","0","No Definido","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10694423","2026-08-14T02:08:35.610Z"
"CO1.REQ.10839444","IGAC Sede Central *","Prestación de servicios profesionales para el fortalecimiento de capacidades institucionales mediante la ejecución de actividades de capacitación y transferencia de saberes en los componentes misionales del IGAC.","8000000","No Definido","Seleccionado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10693879","2026-08-14T02:08:35.610Z"
"CO1.REQ.10827035","MUNICIPIO DE ENVIGADO*","1.	Aunar esfuerzos técnicos  administrativos y comunitarios entre el Municipio y la Junta de Acción Comunal del Barrió Mesa  para realizar mantenimiento a los andenes  escalas y jardineras del Barrio Mesa del Municipio de Envigado  en el marco del programa de contratación social y de conformidad con las especificaciones técnicas  el presupuesto oficial y los documentos del proceso.","89974650","Envigado","Seleccionado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10694166","2026-08-14T02:08:35.610Z"
"CO1.REQ.10840903","ALCALDIA MUNICIPIO DE NOCAIMA","INTERVENTORIA TÉCNICA  ADMINISTRATIVA  JURIDICA Y AMBIENTAL AL CONTRATO DE OBRA PUBLICA  CUYO OBJETO ES CONSTRUCCION DE PERGOLA ORNAMENTAL EN LA ENTRADA DEL MUNICIPIO DE NOCAIMA CUNDINAMARCA BAJO EL MARCO DE LA EJECUCIÓN DEL PROYECTO DEPARTAMENTAL PUEBLOS DORADOS  DE ACUERDO AL CONVENIO 887-2024","48458115","Nocaima","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10695463","2026-08-14T02:08:35.610Z"
"CO1.REQ.10838735","UNIVERSIDAD NACIONAL DE COLOMBIA","PRESTAR SERVICIOS PROFESIONALES PARA REALIZAR EL LEVANTAMIENTO Y FORMULAR EL PLAN DE USOS PARA LA FUTURA ADECUACIÓN DE LOS ESPACIOS DEL EDIFICIO 210 y 910 DE LA FACULTAD DE ODONTOLOGÍA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA  SEDE BOGOTÁ.","14280000","No Definido","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10693559","2026-08-14T02:08:35.610Z"
"CO1.REQ.10830947","GOBERNACION DEL HUILA*","PRESTAR LOS SERVICIOS DE METROLOGÍA BIOMÉDICA A TODO COSTO PARA EL LABORATORIO DE SALUD PÚBLICA DEL DEPARTAMENTO DEL HUILA  QUE COMPRENDE LA EJECUCIÓN DE ACTIVIDADES DE MANTENIMIENTO PREVENTIVO  MANTENIMIENTO CORRECTIVO  VALIDACIÓN Y CALIBRACIÓN DE LOS EQUIPOS DEL LABORATORIO  INCLUYENDO EL SUMINISTRO DE TODOS LOS INSUMOS  REPUESTOS  MATERIALES  MANO DE OBRA CALIFICADA Y DEMÁS RECURSOS TÉCNICOS Y LOGÍSTICOS","528873384","No Definido","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10699002","2026-08-14T02:08:35.610Z"
"CO1.REQ.10827536","ALCALDIA MUNICIPIO DE NOCAIMA","INTERVENTORÍA TÉCNICA  ADMINISTRATIVA  FINANCIERA  JURIDICA Y AMBIENTAL AL CONTRATO DE OBRA PUBLICA  CUYO OBJETO ES MEJORAMIENTO DE LA CALLE 10 ENTRE CARRERA 5 Y 7 CARRERA 7 ENTRE CALLE 9 Y 10 DEL MUNICIPIO DE NOCAIMA","56748374","Nocaima","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10693404","2026-08-14T02:08:35.610Z"
"CO1.REQ.10813341","SENA DISTRITO CAPITAL GRUPO DE APOYO ADMINISTRATIVO - CGI","Contratar el mantenimiento y la calibración de los equipos del Laboratorio del centro de Diseño y Metrología","6241603","Bogotá","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10696786","2026-08-14T02:08:35.610Z"
"CO1.REQ.10839905","HOSPITAL RAUL OREJUELA BUENO","PRESTAR SERVICIOS PROFESIONALES EN EL PROCESO DEL SISTEMA DE GESTION INTEGRADO DE CALIDAD  BRINDANDO APOYO A LA IMPLEMENTACION  SEGUIMIENTO Y MEJORAMIENTO DEL SISTEMA DE GESTION DE CALIDAD EN LOS PROCESOS MISIONALES Y DE APOYO DEL HOSPITAL RAUL OREJUELA BUENO ESE","7000000","Palmira","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10694323","2026-08-14T02:08:35.610Z"
"CO1.REQ.10838341","EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ - E.S.P.","PRESTACION DE SERVICIO DE APOYO A LA GESTIÓN PARA EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS SISTEMAS ELECTROMECÁNICOS A CARGO DE LA DIRECCIÓN SERVICIOS DE ELECTROMECÁNICA DE LA EAAB-ESP","15934080","No Definido","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10692656","2026-08-14T02:08:35.610Z"
"CO1.REQ.10838724","UNIMAGDALENA","SERVICIO DE MANTENIMIENTO PREVENTIVO PARA LOS EQUIPOS BIOMÉDICOS UBICADOS EN LA CLÍNICA ODONTOLÓGICA  CENTRO DE ALTO RENDIMIENTO Y DE BIENESTAR UNIVERSITARIO QUE SON UTILIZADOS POR ESTUDIANTES  DOCENTES Y PERSONAL MÉDICO PARA LAS PRÁCTICAS ACADÉMICAS Y ATENCIÓN EN SALUD DE LA COMUNIDAD UNIVERSITARIA","34673030","Santa Marta","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10692992","2026-08-14T02:08:35.610Z"
"CO1.REQ.10841297","HOSPITAL HENRY VALENCIA OROZCO EMPRESA SOCIAL DEL ESTADO","SERVICIO DE TELEFONIA CELULAR PARA EL HOSPITAL HENRY VALENCIA OROZCO ESE","31430","No Definido","Publicado","UNSPSC: V1.8110","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10695674","2026-08-14T02:08:35.610Z"
